undefined Total battles: 1120742
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 35.07004% | 305077 | 13.610% | 258762 | 15.679% | 
 | 2    | Genesect           | 28.56445% | 181112 |  8.080% | 150512 |  9.120% | 
 | 3    | Tapu Lele          | 25.21668% | 318377 | 14.204% | 225204 | 13.645% | 
 | 4    | Metagross-Mega     | 22.70535% | 206039 |  9.192% | 150807 |  9.138% | 
 | 5    | Tapu Fini          | 20.52595% | 223966 |  9.992% | 180418 | 10.932% | 
 | 6    | Garchomp           | 19.18279% | 227475 | 10.148% | 175963 | 10.662% | 
 | 7    | Greninja-Ash       | 16.77226% | 222071 |  9.907% | 165052 | 10.001% | 
 | 8    | Tapu Koko          | 16.47683% | 344377 | 15.364% | 258980 | 15.692% | 
 | 9    | Zygarde            | 13.50228% | 49979  |  2.230% | 36762  |  2.227% | 
 | 10   | Toxapex            | 13.04599% | 280433 | 12.511% | 210493 | 12.754% | 
 | 11   | Ferrothorn         | 12.10426% | 151014 |  6.737% | 128797 |  7.804% | 
 | 12   | Pheromosa          | 11.55022% | 248797 | 11.100% | 179412 | 10.871% | 
 | 13   | Dugtrio            | 11.18188% | 88332  |  3.941% | 64191  |  3.889% | 
 | 14   | Marowak-Alola      | 10.73628% | 364046 | 16.241% | 274766 | 16.648% | 
 | 15   | Rotom-Wash         |  9.64860% | 103559 |  4.620% | 85715  |  5.194% | 
 | 16   | Heatran            |  9.63998% | 144169 |  6.432% | 116845 |  7.080% | 
 | 17   | Magnezone          |  9.44801% | 151895 |  6.777% | 118060 |  7.153% | 
 | 18   | Scizor-Mega        |  9.37846% | 187849 |  8.381% | 140934 |  8.539% | 
 | 19   | Chansey            |  9.28400% | 94503  |  4.216% | 69752  |  4.226% | 
 | 20   | Sableye-Mega       |  8.98046% | 69524  |  3.102% | 58858  |  3.566% | 
 | 21   | Celesteela         |  8.92063% | 243964 | 10.884% | 187321 | 11.350% | 
 | 22   | Latios             |  8.88608% | 118507 |  5.287% | 79446  |  4.814% | 
 | 23   | Magearna           |  8.79990% | 146387 |  6.531% | 113437 |  6.873% | 
 | 24   | Mimikyu            |  8.69597% | 209928 |  9.366% | 143708 |  8.707% | 
 | 25   | Excadrill          |  8.45709% | 118130 |  5.270% | 87515  |  5.303% | 
 | 26   | Skarmory           |  8.45485% | 138047 |  6.159% | 114064 |  6.911% | 
 | 27   | Tapu Bulu          |  8.31582% | 154103 |  6.875% | 111624 |  6.763% | 
 | 28   | Kartana            |  6.95998% | 145181 |  6.477% | 101219 |  6.133% | 
 | 29   | Charizard-Mega-X   |  6.15750% | 147162 |  6.565% | 105249 |  6.377% | 
 | 30   | Hoopa-Unbound      |  5.61800% | 62739  |  2.799% | 43538  |  2.638% | 
 | 31   | Venusaur-Mega      |  5.55934% | 107684 |  4.804% | 80712  |  4.890% | 
 | 32   | Buzzwole           |  5.44042% | 99499  |  4.439% | 67946  |  4.117% | 
 | 33   | Gyarados-Mega      |  5.20397% | 99004  |  4.417% | 73158  |  4.433% | 
 | 34   | Pinsir-Mega        |  5.06535% | 77182  |  3.443% | 51525  |  3.122% | 
 | 35   | Nihilego           |  5.04869% | 86510  |  3.859% | 69064  |  4.185% | 
 | 36   | Mantine            |  4.90109% | 66189  |  2.953% | 51968  |  3.149% | 
 | 37   | Pelipper           |  4.84906% | 117917 |  5.261% | 105708 |  6.405% | 
