 Total battles: 325258
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 79.15958% | 204556 | 31.445% | 151406 | 35.821% | 
 | 2    | Xerneas            | 48.96055% | 153613 | 23.614% | 97165  | 22.988% | 
 | 3    | Yveltal            | 43.72324% | 85979  | 13.217% | 60589  | 14.335% | 
 | 4    | Arceus             | 28.21766% | 66850  | 10.276% | 41900  |  9.913% | 
 | 5    | Lunala             | 23.25309% | 124002 | 19.062% | 76033  | 17.989% | 
 | 6    | Salamence-Mega     | 22.76181% | 87880  | 13.509% | 52780  | 12.487% | 
 | 7    | Gengar-Mega        | 17.59353% | 60796  |  9.346% | 39284  |  9.294% | 
 | 8    | Deoxys-Attack      | 17.52845% | 42219  |  6.490% | 29570  |  6.996% | 
 | 9    | Lucario-Mega       | 16.01756% | 75134  | 11.550% | 48015  | 11.360% | 
 | 10   | Solgaleo           | 15.75302% | 115078 | 17.690% | 68938  | 16.310% | 
 | 11   | Zygarde            | 15.52786% | 79302  | 12.191% | 54152  | 12.812% | 
 | 12   | Arceus-Water       | 14.08012% | 29118  |  4.476% | 20002  |  4.732% | 
 | 13   | Kyogre-Primal      | 13.00111% | 94538  | 14.533% | 61024  | 14.438% | 
 | 14   | Giratina-Origin    | 12.97521% | 38577  |  5.930% | 25388  |  6.007% | 
 | 15   | Arceus-Ground      | 12.73208% | 14315  |  2.201% | 10353  |  2.449% | 
 | 16   | Ho-Oh              | 11.28903% | 35380  |  5.439% | 23649  |  5.595% | 
 | 17   | Magearna           | 11.18357% | 18849  |  2.898% | 13113  |  3.102% | 
 | 18   | Deoxys-Speed       | 10.76245% | 21346  |  3.281% | 18968  |  4.488% | 
 | 19   | Arceus-Ghost       |  8.53166% | 17762  |  2.730% | 11013  |  2.606% | 
 | 20   | Rayquaza           |  8.11655% | 55679  |  8.559% | 35265  |  8.343% | 
 | 21   | Arceus-Fairy       |  7.69787% | 13060  |  2.008% | 9228   |  2.183% | 
 | 22   | Lugia              |  7.19500% | 43357  |  6.665% | 26709  |  6.319% | 
 | 23   | Kyurem-White       |  6.93398% | 20931  |  3.218% | 12555  |  2.970% | 
 | 24   | Ferrothorn         |  6.17496% | 15981  |  2.457% | 12423  |  2.939% | 
 | 25   | Arceus-Dark        |  6.15717% | 9348   |  1.437% | 6539   |  1.547% | 
 | 26   | Ditto              |  5.90041% | 15402  |  2.368% | 10326  |  2.443% | 
 | 27   | Smeargle           |  5.89825% | 23288  |  3.580% | 20158  |  4.769% | 
 | 28   | Tapu Lele          |  5.59640% | 19647  |  3.020% | 12925  |  3.058% | 
 | 29   | Mewtwo             |  5.29650% | 41598  |  6.395% | 25942  |  6.138% | 
 | 30   | Aegislash          |  4.47425% | 59920  |  9.211% | 37695  |  8.918% | 
 | 31   | Darkrai            |  4.30712% | 43093  |  6.624% | 27856  |  6.590% | 
 | 32   | Excadrill          |  3.88390% | 7381   |  1.135% | 5891   |  1.394% | 
 | 33   | Kangaskhan-Mega    |  3.86122% | 43575  |  6.699% | 29578  |  6.998% | 
 | 34   | Dialga             |  3.71225% | 22264  |  3.423% | 14634  |  3.462% | 
 | 35   | Chansey            |  3.26566% | 9137   |  1.405% | 5942   |  1.406% | 
 | 36   | Toxapex            |  3.23441% | 34781  |  5.347% | 24332  |  5.757% | 
 | 37   | Sableye-Mega       |  2.96137% | 9840   |  1.513% | 7418   |  1.755% | 
 | 38   | Pheromosa          |  2.94801% | 23970  |  3.685% | 15404  |  3.644% | 
 | 39   | Palkia             |  2.85385% | 14543  |  2.236% | 8987   |  2.126% | 
 | 40   | Shuckle            |  2.79642% | 8912   |  1.370% | 7557   |  1.788% | 
 | 41   | Giratina           |  2.74608% | 11376  |  1.749% | 7273   |  1.721% | 
 | 42   | Shaymin-Sky        |  2.63819% | 16682  |  2.564% | 10348  |  2.448% | 
 | 43   | Arceus-Steel       |  2.26561% | 8460   |  1.301% | 5468   |  1.294% | 
 | 44   | Landorus-Therian   |  2.25028% | 6084   |  0.935% | 4570   |  1.081% | 
 | 45   | Blissey            |  2.11935% | 9393   |  1.444% | 6069   |  1.436% | 
 | 46   | Arceus-Rock        |  1.91531% | 3963   |  0.609% | 2588   |  0.612% | 
 | 47   | Cloyster           |  1.85872% | 13204  |  2.030% | 9278   |  2.195% | 
 | 48   | Kartana            |  1.83458% | 24982  |  3.840% | 15491  |  3.665% | 
 | 49   | Scolipede          |  1.83361% | 13387  |  2.058% | 10985  |  2.599% | 
 | 50   | Muk-Alola          |  1.78143% | 8980   |  1.380% | 6009   |  1.422% | 
 | 51   | Tyranitar          |  1.74939% | 16159  |  2.484% | 11026  |  2.609% | 
 | 52   | Kyogre             |  1.70924% | 11357  |  1.746% | 7453   |  1.763% | 
 | 53   | Genesect           |  1.66329% | 8516   |  1.309% | 6022   |  1.425% | 
 | 54   | Skarmory           |  1.63883% | 7630   |  1.173% | 5985   |  1.416% | 
 | 55   | Blaziken           |  1.60622% | 38844  |  5.971% | 27060  |  6.402% | 
 | 56   | Zekrom             |  1.54008% | 18279  |  2.810% | 11171  |  2.643% | 
 | 57   | Bronzong           |  1.41010% | 3908   |  0.601% | 3012   |  0.713% | 
 | 58   | Tapu Koko          |  1.40036% | 29280  |  4.501% | 19574  |  4.631% | 
 | 59   | Scizor-Mega        |  1.38519% | 11997  |  1.844% | 7611   |  1.801% | 
 | 60   | Scizor             |  1.33147% | 5204   |  0.800% | 3382   |  0.800% | 
 | 61   | Dugtrio            |  1.28575% | 3424   |  0.526% | 2619   |  0.620% | 
 | 62   | Greninja-Ash       |  1.22469% | 86878  | 13.355% | 61894  | 14.643% | 
 | 63   | Klefki             |  1.22393% | 6299   |  0.968% | 4622   |  1.094% | 
 | 64   | Arceus-Dragon      |  1.22215% | 4892   |  0.752% | 3178   |  0.752% | 
 | 65   | Landorus           |  1.19151% | 7411   |  1.139% | 4956   |  1.173% | 
 | 66   | Celesteela         |  1.14909% | 22725  |  3.493% | 14552  |  3.443% | 
 | 67   | Slowbro-Mega       |  1.06969% | 1179   |  0.181% | 778    |  0.184% | 
 | 68   | Garchomp           |  1.01311% | 23327  |  3.586% | 15247  |  3.607% | 
 | 69   | Eevee              |  0.95710% | 20662  |  3.176% | 17712  |  4.190% | 
 | 70   | Metagross-Mega     |  0.86905% | 17343  |  2.666% | 11236  |  2.658% | 
 | 71   | Xurkitree          |  0.85988% | 15312  |  2.354% | 9520   |  2.252% | 
