 Total battles: 39279
 Avg. weight/team: 0.029
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 75.23432% | 19179  | 24.414% | 10593  | 24.546% | 
 | 2    | Xerneas            | 60.76614% | 14747  | 18.772% | 7551   | 17.497% | 
 | 3    | Kyogre-Primal      | 55.64581% | 16398  | 20.874% | 9106   | 21.101% | 
 | 4    | Rayquaza-Mega      | 49.21822% | 9118   | 11.607% | 4724   | 10.947% | 
 | 5    | Magearna           | 39.09865% | 9159   | 11.659% | 4813   | 11.153% | 
 | 6    | Arceus             | 22.42606% | 3939   |  5.014% | 2071   |  4.799% | 
 | 7    | Kangaskhan-Mega    | 15.64567% | 7581   |  9.650% | 3955   |  9.165% | 
 | 8    | Mew                | 12.39976% | 2600   |  3.310% | 1504   |  3.485% | 
 | 9    | Zygarde            | 11.41191% | 7196   |  9.160% | 3950   |  9.153% | 
 | 10   | Solgaleo           | 11.36447% | 8873   | 11.295% | 4719   | 10.935% | 
 | 11   | Yveltal            | 11.36157% | 4013   |  5.108% | 2266   |  5.251% | 
 | 12   | Arceus-Steel       | 11.11417% | 1441   |  1.834% | 775    |  1.796% | 
 | 13   | Giratina-Origin    | 10.39001% | 2687   |  3.420% | 1516   |  3.513% | 
 | 14   | Dialga             | 10.25312% | 3204   |  4.079% | 1796   |  4.162% | 
 | 15   | Lunala             | 10.20962% | 9323   | 11.868% | 5159   | 11.954% | 
 | 16   | Tapu Lele          |  9.15480% | 3435   |  4.373% | 1884   |  4.366% | 
 | 17   | Lugia              |  8.67635% | 3377   |  4.299% | 1812   |  4.199% | 
 | 18   | Mewtwo             |  7.72957% | 3394   |  4.320% | 1750   |  4.055% | 
 | 19   | Greninja-Ash       |  7.56297% | 8795   | 11.196% | 4640   | 10.752% | 
 | 20   | Darkrai            |  7.28440% | 5387   |  6.857% | 2881   |  6.676% | 
 | 21   | Diancie            |  6.88735% | 594    |  0.756% | 323    |  0.748% | 
 | 22   | Salamence-Mega     |  5.26375% | 4801   |  6.111% | 2628   |  6.090% | 
 | 23   | Sableye            |  5.11926% | 982    |  1.250% | 568    |  1.316% | 
 | 24   | Ho-Oh              |  4.90800% | 2563   |  3.263% | 1506   |  3.490% | 
 | 25   | Arceus-Ghost       |  4.45275% | 882    |  1.123% | 434    |  1.006% | 
 | 26   | Tapu Koko          |  3.55599% | 6739   |  8.578% | 3536   |  8.194% | 
 | 27   | Mienshao           |  3.48780% | 548    |  0.698% | 339    |  0.786% | 
 | 28   | Gengar-Mega        |  3.36116% | 4852   |  6.176% | 2497   |  5.786% | 
 | 29   | Zekrom             |  3.09618% | 2643   |  3.364% | 1406   |  3.258% | 
 | 30   | Kyogre             |  2.93550% | 1132   |  1.441% | 693    |  1.606% | 
 | 31   | Landorus-Therian   |  2.79546% | 1081   |  1.376% | 704    |  1.631% | 
 | 32   | Palkia             |  2.77914% | 1920   |  2.444% | 1006   |  2.331% | 
 | 33   | Victini            |  2.73656% | 1909   |  2.430% | 1204   |  2.790% | 
 | 34   | Amoonguss          |  2.70133% | 1378   |  1.754% | 883    |  2.046% | 
 | 35   | Venusaur           |  2.53212% | 794    |  1.011% | 488    |  1.131% | 
 | 36   | Hitmontop          |  2.50580% | 1184   |  1.507% | 877    |  2.032% | 
 | 37   | Cresselia          |  2.18197% | 975    |  1.241% | 523    |  1.212% | 
 | 38   | Aron               |  2.17566% | 248    |  0.316% | 149    |  0.345% | 
 | 39   | Zygarde-10%        |  2.14119% | 1187   |  1.511% | 710    |  1.645% | 
 | 40   | Charizard-Mega-Y   |  2.10142% | 2734   |  3.480% | 1489   |  3.450% | 
 | 41   | Arceus-Fairy       |  2.08882% | 566    |  0.720% | 252    |  0.584% | 
 | 42   | Bronzong           |  1.97803% | 965    |  1.228% | 582    |  1.349% | 
 | 43   | Deoxys-Attack      |  1.90088% | 1557   |  1.982% | 758    |  1.756% | 
 | 44   | Shaymin-Sky        |  1.87280% | 1217   |  1.549% | 606    |  1.404% | 
 | 45   | Aegislash          |  1.86443% | 4530   |  5.766% | 2672   |  6.192% | 
 | 46   | Genesect           |  1.85091% | 977    |  1.244% | 598    |  1.386% | 
 | 47   | Raichu             |  1.81915% | 1417   |  1.804% | 921    |  2.134% | 
 | 48   | Whimsicott         |  1.76228% | 1830   |  2.329% | 1002   |  2.322% | 
 | 49   | Eevee              |  1.75934% | 3704   |  4.715% | 1953   |  4.526% | 
 | 50   | Pheromosa          |  1.57073% | 2262   |  2.879% | 1216   |  2.818% | 
 | 51   | Smeargle           |  1.52910% | 3090   |  3.933% | 1697   |  3.932% | 
 | 52   | Arceus-Psychic     |  1.48761% | 197    |  0.251% | 127    |  0.294% | 
 | 53   | Tapu Fini          |  1.46201% | 1919   |  2.443% | 1126   |  2.609% | 
 | 54   | Reshiram           |  1.43898% | 1682   |  2.141% | 932    |  2.160% | 
 | 55   | Latios             |  1.42438% | 928    |  1.181% | 530    |  1.228% | 
 | 56   | Blaziken           |  1.30182% | 2441   |  3.107% | 1394   |  3.230% | 
 | 57   | Klefki             |  1.25524% | 934    |  1.189% | 545    |  1.263% | 
 | 58   | Ferrothorn         |  1.22410% | 1293   |  1.646% | 738    |  1.710% | 
 | 59   | Kartana            |  1.21383% | 3119   |  3.970% | 1726   |  4.000% | 
 | 60   | Tapu Bulu          |  1.20241% | 1941   |  2.471% | 1116   |  2.586% | 
 | 61   | Breloom            |  1.17128% | 578    |  0.736% | 338    |  0.783% | 
 | 62   | Comfey             |  1.15813% | 3919   |  4.989% | 2062   |  4.778% | 
 | 63   | Oranguru           |  1.10081% | 5021   |  6.391% | 2763   |  6.402% | 
 | 64   | Arceus-Ground      |  1.08739% | 302    |  0.384% | 131    |  0.304% | 
 | 65   | Meowstic           |  1.07823% | 612    |  0.779% | 356    |  0.825% | 
 | 66   | Crobat             |  1.07016% | 1223   |  1.557% | 627    |  1.453% | 
 | 67   | Mimikyu            |  1.01823% | 4847   |  6.170% | 2679   |  6.208% | 
 | 68   | Xurkitree          |  0.96664% | 2614   |  3.327% | 1525   |  3.534% | 
 | 69   | Jirachi            |  0.96259% | 1528   |  1.945% | 800    |  1.854% | 
 | 70   | Araquanid          |  0.94424% | 2118   |  2.696% | 1260   |  2.920% | 
 | 71   | Kyurem-White       |  0.93342% | 1889   |  2.405% | 996    |  2.308% | 
 | 72   | Groudon            |  0.91229% | 420    |  0.535% | 236    |  0.547% | 
 | 73   | Arceus-Water       |  0.89238% | 413    |  0.526% | 229    |  0.531% | 
 | 74   | Lucario-Mega       |  0.87747% | 4007   |  5.101% | 2272   |  5.265% | 
 | 75   | Celesteela         |  0.84936% | 3706   |  4.718% | 2217   |  5.137% | 
 | 76   | Metagross-Mega     |  0.82948% | 1814   |  2.309% | 1068   |  2.475% | 
 | 77   | Raichu-Alola       |  0.78359% | 3443   |  4.383% | 1971   |  4.567% | 
 | 78   | Gastrodon          |  0.78159% | 1075   |  1.368% | 676    |  1.566% | 
 | 79   | Togekiss           |  0.75168% | 1850   |  2.355% | 1129   |  2.616% | 
 | 80   | Liepard            |  0.72986% | 280    |  0.356% | 117    |  0.271% | 
 | 81   | Ditto              |  0.72709% | 1758   |  2.238% | 1020   |  2.364% | 
 | 82   | Salamence          |  0.69516% | 1015   |  1.292% | 552    |  1.279% | 
 | 83   | Weavile            |  0.65221% | 890    |  1.133% | 506    |  1.173% | 
 | 84   | Greninja           |  0.63080% | 2657   |  3.382% | 1379   |  3.195% | 
 | 85   | Scizor             |  0.56551% | 752    |  0.957% | 506    |  1.173% | 
 | 86   | Deoxys-Speed       |  0.53558% | 470    |  0.598% | 217    |  0.503% | 
 | 87   | Giratina           |  0.52976% | 862    |  1.097% | 439    |  1.017% | 
 | 88   | Necrozma           |  0.52760% | 1284   |  1.634% | 783    |  1.814% | 
 | 89   | Kingdra            |  0.52212% | 808    |  1.029% | 554    |  1.284% | 
 | 90   | Garchomp           |  0.49999% | 2991   |  3.807% | 1639   |  3.798% | 
 | 91   | Marowak-Alola      |  0.48459% | 3750   |  4.774% | 2400   |  5.561% | 
 | 92   | Arcanine           |  0.47033% | 2462   |  3.134% | 1444   |  3.346% | 
 | 93   | Shiftry            |  0.46893% | 191    |  0.243% | 130    |  0.301% | 
 | 94   | Dhelmise           |  0.46375% | 1013   |  1.289% | 614    |  1.423% | 
 | 95   | Arceus-Poison      |  0.45475% | 271    |  0.345% | 152    |  0.352% | 
 | 96   | Scrafty            |  0.41628% | 350    |  0.446% | 236    |  0.547% | 
 | 97   | Arceus-Dark        |  0.40416% | 177    |  0.225% | 102    |  0.236% | 
 | 98   | Volcanion          |  0.39903% | 863    |  1.099% | 475    |  1.101% | 
 | 99   | Arceus-Fire        |  0.39480% | 213    |  0.271% | 110    |  0.255% | 
 | 100  | Raikou             |  0.39161% | 568    |  0.723% | 306    |  0.709% | 
 | 101  | Pyukumuku          |  0.38379% | 933    |  1.188% | 516    |  1.196% | 
 | 102  | Golem-Alola        |  0.36909% | 2347   |  2.988% | 1452   |  3.365% | 
 | 103  | Thundurus-Therian  |  0.36461% | 571    |  0.727% | 333    |  0.772% | 
 | 104  | Volcarona          |  0.36367% | 1358   |  1.729% | 725    |  1.680% | 
 | 105  | Shiinotic          |  0.34555% | 422    |  0.537% | 269    |  0.623% | 
 | 106  | Clefable           |  0.31846% | 1452   |  1.848% | 872    |  2.021% | 
 | 107  | Charizard-Mega-X   |  0.31569% | 3077   |  3.917% | 1695   |  3.928% | 
 | 108  | Thundurus          |  0.31533% | 522    |  0.664% | 274    |  0.635% | 
 | 109  | Staraptor          |  0.31277% | 843    |  1.073% | 550    |  1.274% | 
 | 110  | Ninetales-Alola    |  0.31227% | 2908   |  3.702% | 1476   |  3.420% | 
 | 111  | Talonflame         |  0.31082% | 1394   |  1.774% | 786    |  1.821% | 
 | 112  | Landorus           |  0.30349% | 265    |  0.337% | 137    |  0.317% | 
 | 113  | Nidoking           |  0.30073% | 369    |  0.470% | 179    |  0.415% | 
 | 114  | Slowbro-Mega       |  0.29744% | 354    |  0.451% | 169    |  0.392% | 
 | 115  | Sableye-Mega       |  0.29452% | 987    |  1.256% | 565    |  1.309% | 
 | 116  | Medicham           |  0.28562% | 206    |  0.262% | 126    |  0.292% | 
 | 117  | Golduck            |  0.28259% | 389    |  0.495% | 206    |  0.477% | 
 | 118  | Venusaur-Mega      |  0.28098% | 1103   |  1.404% | 668    |  1.548% | 
 | 119  | Togetic            |  0.28015% | 339    |  0.432% | 210    |  0.487% | 
 | 120  | Buzzwole           |  0.27211% | 1034   |  1.316% | 598    |  1.386% | 
 | 121  | Sylveon            |  0.26476% | 1522   |  1.937% | 946    |  2.192% | 
 | 122  | Porygon2           |  0.26304% | 648    |  0.825% | 323    |  0.748% | 
 | 123  | Blastoise          |  0.25448% | 338    |  0.430% | 226    |  0.524% | 
 | 124  | Manaphy            |  0.25404% | 389    |  0.495% | 179    |  0.415% | 
 | 125  | Oricorio-Pom-Pom   |  0.24739% | 896    |  1.141% | 428    |  0.992% | 
 | 126  | Politoed           |  0.23596% | 997    |  1.269% | 506    |  1.173% | 
 | 127  | Snorlax            |  0.22834% | 2282   |  2.905% | 1364   |  3.161% | 
 | 128  | Heatran            |  0.21896% | 386    |  0.491% | 224    |  0.519% | 
 | 129  | Spinda             |  0.21778% | 598    |  0.761% | 303    |  0.702% | 
 | 130  | Alakazam-Mega      |  0.21676% | 1518   |  1.932% | 781    |  1.810% | 
 | 131  | Tyranitar          |  0.21426% | 1444   |  1.838% | 791    |  1.833% | 
 | 132  | Accelgor           |  0.21372% | 379    |  0.482% | 267    |  0.619% | 
 | 133  | Toxapex            |  0.21284% | 3566   |  4.539% | 2053   |  4.757% | 
 | 134  | Pachirisu          |  0.20924% | 579    |  0.737% | 326    |  0.755% | 
 | 135  | Electivire         |  0.20706% | 1217   |  1.549% | 727    |  1.685% | 
 | 136  | Kyurem-Black       |  0.20332% | 676    |  0.861% | 360    |  0.834% | 
 | 137  | Excadrill          |  0.19807% | 508    |  0.647% | 276    |  0.640% | 
 | 138  | Hoopa-Unbound      |  0.19616% | 861    |  1.096% | 477    |  1.105% | 
 | 139  | Sandslash-Alola    |  0.19187% | 804    |  1.023% | 508    |  1.177% | 
 | 140  | Rampardos          |  0.18689% | 177    |  0.225% | 104    |  0.241% | 
 | 141  | Gengar             |  0.18041% | 1869   |  2.379% | 984    |  2.280% | 
 | 142  | Rotom-Wash         |  0.17941% | 322    |  0.410% | 203    |  0.470% | 
 | 143  | Dugtrio-Alola      |  0.17737% | 328    |  0.418% | 173    |  0.401% | 
 | 144  | Espeon             |  0.17709% | 825    |  1.050% | 440    |  1.020% | 
 | 145  | Incineroar         |  0.17665% | 2804   |  3.569% | 1697   |  3.932% | 
 | 146  | Dugtrio            |  0.17203% | 180    |  0.229% | 101    |  0.234% | 
 | 147  | Shedinja           |  0.17129% | 2161   |  2.751% | 1332   |  3.087% | 
 | 148  | Clefairy           |  0.16878% | 545    |  0.694% | 327    |  0.758% | 
 | 149  | Gigalith           |  0.16391% | 861    |  1.096% | 514    |  1.191% | 
