undefined Total battles: 234237
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 32.99549% | 30928  |  6.602% | 0      |  0.000% | 
 | 2    | Salamence-Mega     | 32.90661% | 26617  |  5.682% | 0      |  0.000% | 
 | 3    | Heatran            | 31.99779% | 18372  |  3.922% | 0      |  0.000% | 
 | 4    | Tapu Lele          | 27.43938% | 38399  |  8.197% | 0      |  0.000% | 
 | 5    | Tapu Koko          | 21.73736% | 54325  | 11.596% | 0      |  0.000% | 
 | 6    | Jirachi            | 19.65599% | 13756  |  2.936% | 0      |  0.000% | 
 | 7    | Charizard-Mega-Y   | 17.35807% | 30795  |  6.573% | 0      |  0.000% | 
 | 8    | Tapu Bulu          | 15.71436% | 28633  |  6.112% | 0      |  0.000% | 
 | 9    | Zygarde            | 14.58994% | 6344   |  1.354% | 0      |  0.000% | 
 | 10   | Hoopa-Unbound      | 14.26337% | 8175   |  1.745% | 0      |  0.000% | 
 | 11   | Kangaskhan-Mega    | 13.57464% | 20935  |  4.469% | 0      |  0.000% | 
 | 12   | Metagross-Mega     | 12.69119% | 24865  |  5.308% | 0      |  0.000% | 
 | 13   | Zapdos             | 11.53551% | 11284  |  2.409% | 0      |  0.000% | 
 | 14   | Tapu Fini          | 11.40678% | 21409  |  4.570% | 0      |  0.000% | 
 | 15   | Tyranitar          | 11.34250% | 18796  |  4.012% | 0      |  0.000% | 
 | 16   | Aegislash          | 11.17409% | 20599  |  4.397% | 0      |  0.000% | 
 | 17   | Milotic            | 11.04648% | 15384  |  3.284% | 0      |  0.000% | 
 | 18   | Deoxys-Attack      | 10.97390% | 5763   |  1.230% | 0      |  0.000% | 
 | 19   | Celesteela         | 10.40661% | 36186  |  7.724% | 0      |  0.000% | 
 | 20   | Kingdra            |  8.47899% | 17857  |  3.812% | 0      |  0.000% | 
 | 21   | Amoonguss          |  7.78116% | 10418  |  2.224% | 0      |  0.000% | 
 | 22   | Thundurus          |  7.17572% | 6815   |  1.455% | 0      |  0.000% | 
 | 23   | Marowak-Alola      |  7.03861% | 44678  |  9.537% | 0      |  0.000% | 
 | 24   | Politoed           |  6.83880% | 17678  |  3.774% | 0      |  0.000% | 
 | 25   | Excadrill          |  6.67741% | 10557  |  2.253% | 0      |  0.000% | 
 | 26   | Volcarona          |  6.28644% | 27587  |  5.889% | 0      |  0.000% | 
 | 27   | Shaymin-Sky        |  6.14034% | 5647   |  1.205% | 0      |  0.000% | 
 | 28   | Rotom-Wash         |  6.05284% | 8750   |  1.868% | 0      |  0.000% | 
 | 29   | Pelipper           |  5.72686% | 35594  |  7.598% | 0      |  0.000% | 
 | 30   | Azumarill          |  5.51428% | 12536  |  2.676% | 0      |  0.000% | 
 | 31   | Scrafty            |  5.39830% | 6381   |  1.362% | 0      |  0.000% | 
 | 32   | Volcanion          |  4.93682% | 8967   |  1.914% | 0      |  0.000% | 
 | 33   | Genesect           |  4.56302% | 5901   |  1.260% | 0      |  0.000% | 
 | 34   | Gengar-Mega        |  4.51299% | 14140  |  3.018% | 0      |  0.000% | 
 | 35   | Venusaur           |  4.44314% | 9250   |  1.974% | 0      |  0.000% | 
 | 36   | Muk-Alola          |  4.38504% | 32582  |  6.955% | 0      |  0.000% | 
 | 37   | Suicune            |  4.37462% | 4469   |  0.954% | 0      |  0.000% | 
 | 38   | Ninetales-Alola    |  4.13014% | 32455  |  6.928% | 0      |  0.000% | 
 | 39   | Porygon2           |  4.00793% | 23743  |  5.068% | 0      |  0.000% | 
 | 40   | Gastrodon          |  3.72424% | 23265  |  4.966% | 0      |  0.000% | 
 | 41   | Oranguru           |  3.65473% | 47574  | 10.155% | 0      |  0.000% | 
 | 42   | Hydreigon          |  3.60421% | 9042   |  1.930% | 0      |  0.000% | 
 | 43   | Ferrothorn         |  3.56630% | 11660  |  2.489% | 0      |  0.000% | 
 | 44   | Sylveon            |  3.45681% | 13227  |  2.823% | 0      |  0.000% | 
 | 45   | Araquanid          |  3.32466% | 26530  |  5.663% | 0      |  0.000% | 
 | 46   | Ludicolo           |  3.31819% | 8860   |  1.891% | 0      |  0.000% | 
 | 47   | Landorus           |  3.25425% | 3880   |  0.828% | 0      |  0.000% | 
 | 48   | Arcanine           |  3.14435% | 33347  |  7.118% | 0      |  0.000% | 
 | 49   | Diancie            |  2.98098% | 4523   |  0.965% | 0      |  0.000% | 
 | 50   | Cresselia          |  2.92015% | 7967   |  1.701% | 0      |  0.000% | 
 | 51   | Pheromosa          |  2.86050% | 14928  |  3.187% | 0      |  0.000% | 
 | 52   | Nihilego           |  2.67763% | 10119  |  2.160% | 0      |  0.000% | 
 | 53   | Meloetta           |  2.67087% | 2095   |  0.447% | 0      |  0.000% | 
 | 54   | Kartana            |  2.52200% | 23902  |  5.102% | 0      |  0.000% | 
 | 55   | Necrozma           |  2.39804% | 3727   |  0.796% | 0      |  0.000% | 
 | 56   | Terrakion          |  2.37646% | 6080   |  1.298% | 0      |  0.000% | 
 | 57   | Buzzwole           |  2.27438% | 6461   |  1.379% | 0      |  0.000% | 
 | 58   | Greninja           |  2.22452% | 15819  |  3.377% | 0      |  0.000% | 
 | 59   | Mew                |  2.16181% | 8073   |  1.723% | 0      |  0.000% | 
 | 60   | Whimsicott         |  2.02235% | 17364  |  3.707% | 0      |  0.000% | 
 | 61   | Garchomp           |  2.00518% | 37957  |  8.102% | 0      |  0.000% | 
 | 62   | Hitmontop          |  1.95553% | 6010   |  1.283% | 0      |  0.000% | 
 | 63   | Linoone            |  1.88312% | 2055   |  0.439% | 0      |  0.000% | 
 | 64   | Clefairy           |  1.77398% | 4033   |  0.861% | 0      |  0.000% | 
 | 65   | Weavile            |  1.77046% | 16142  |  3.446% | 0      |  0.000% | 
 | 66   | Gigalith           |  1.73231% | 12903  |  2.754% | 0      |  0.000% | 
 | 67   | Kyurem-Black       |  1.71389% | 3241   |  0.692% | 0      |  0.000% | 
 | 68   | Mimikyu            |  1.63947% | 34766  |  7.421% | 0      |  0.000% | 
 | 69   | Hippowdon          |  1.60293% | 4364   |  0.932% | 0      |  0.000% | 
 | 70   | Torkoal            |  1.49245% | 18247  |  3.895% | 0      |  0.000% | 
 | 71   | Lucario-Mega       |  1.33186% | 12277  |  2.621% | 0      |  0.000% | 
 | 72   | Togekiss           |  1.29962% | 15798  |  3.372% | 0      |  0.000% | 
 | 73   | Xurkitree          |  1.25950% | 19609  |  4.186% | 0      |  0.000% | 
 | 74   | Greninja-Ash       |  1.24476% | 25626  |  5.470% | 0      |  0.000% | 
 | 75   | Darkrai            |  1.20527% | 3225   |  0.688% | 0      |  0.000% | 
 | 76   | Snorlax            |  1.19332% | 18459  |  3.940% | 0      |  0.000% | 
 | 77   | Bronzong           |  1.18691% | 5841   |  1.247% | 0      |  0.000% | 
 | 78   | Aerodactyl-Mega    |  1.18306% | 9691   |  2.069% | 0      |  0.000% | 
 | 79   | Keldeo             |  1.16811% | 2539   |  0.542% | 0      |  0.000% | 
 | 80   | Raichu-Alola       |  1.15521% | 20658  |  4.410% | 0      |  0.000% | 
 | 81   | Cradily            |  1.14985% | 6914   |  1.476% | 0      |  0.000% | 
