undefined Total battles: 1066244
, Avg. weight/team: 0.007
, + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
, | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
, + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 42.55849% | 452507 | 21.220% | 381317 | 24.085% | 0
 | 2    | Metagross-Mega     | 35.44555% | 344716 | 16.165% | 249662 | 15.769% | 2
 | 3    | Tapu Fini          | 26.02727% | 334077 | 15.666% | 267060 | 16.868% | 2
 | 4    | Pheromosa          | 21.43362% | 239768 | 11.244% | 178050 | 11.246% | 8
 | 5    | Tapu Lele          | 19.82681% | 270380 | 12.679% | 187401 | 11.837% | -2
 | 6    | Greninja-Ash       | 18.44652% | 319296 | 14.973% | 237482 | 15.000% | 1
 | 7    | Greninja           | 16.82226% | 156852 |  7.355% | 115525 |  7.297% | 31
 | 8    | Magearna           | 15.16313% | 167496 |  7.854% | 126982 |  8.021% | 15
 | 9    | Ferrothorn         | 14.46268% | 234813 | 11.011% | 199480 | 12.600% | 2
 | 10   | Garchomp           | 13.71153% | 271220 | 12.718% | 204455 | 12.914% | -4
 | 11   | Skarmory           | 13.28319% | 158016 |  7.410% | 129883 |  8.204% | 15
 | 12   | Toxapex            | 13.13820% | 217347 | 10.192% | 163103 | 10.302% | -2
 | 13   | Excadrill          | 12.92796% | 169662 |  7.956% | 126353 |  7.981% | 12
 | 14   | Celesteela         | 12.82128% | 200845 |  9.418% | 153767 |  9.712% | 7
 | 15   | Tapu Koko          | 12.09344% | 274089 | 12.853% | 204709 | 12.930% | -7
 | 16   | Heatran            | 11.85842% | 192148 |  9.011% | 154840 |  9.780% | 0
 | 17   | Dugtrio            | 11.82924% | 96352  |  4.518% | 70965  |  4.482% | -4
 | 18   | Chansey            | 11.74248% | 119090 |  5.585% | 88549  |  5.593% | 1
 | 19   | Scizor-Mega        |  9.87898% | 172343 |  8.082% | 129981 |  8.210% | -1
 | 20   | Zygarde            |  9.76530% | 63882  |  2.996% | 47648  |  3.010% | -11
