undefined Total battles: 275502
, Avg. weight/team: 0.042
, + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
, | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
, + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 78.57111% | 196980 | 35.749% | 147639 | 40.342% | 0
 | 2    | Xerneas            | 43.37924% | 141677 | 25.713% | 90702  | 24.784% | 0
 | 3    | Yveltal            | 39.33366% | 80773  | 14.659% | 57666  | 15.757% | 0
 | 4    | Arceus             | 26.97882% | 67722  | 12.291% | 44431  | 12.141% | 0
 | 5    | Lunala             | 20.72801% | 66458  | 12.061% | 41479  | 11.334% | 0
 | 6    | Salamence-Mega     | 20.09276% | 68940  | 12.512% | 43434  | 11.868% | 0
 | 7    | Lucario-Mega       | 17.60378% | 69513  | 12.616% | 45207  | 12.353% | 2
 | 8    | Arceus-Ground      | 16.70512% | 19184  |  3.482% | 14240  |  3.891% | 7
 | 9    | Gengar-Mega        | 16.28737% | 52674  |  9.560% | 34061  |  9.307% | -2
 | 10   | Ho-Oh              | 15.78178% | 37064  |  6.727% | 25784  |  7.045% | 6
 | 11   | Deoxys-Attack      | 14.72748% | 43638  |  7.920% | 30181  |  8.247% | -3
 | 12   | Kyogre-Primal      | 14.70370% | 92069  | 16.709% | 59844  | 16.352% | 1
 | 13   | Rayquaza           | 12.08005% | 51642  |  9.372% | 33157  |  9.060% | 7
 | 14   | Giratina-Origin    | 11.88075% | 40928  |  7.428% | 27715  |  7.573% | 0
 | 15   | Arceus-Ghost       | 11.38915% | 20908  |  3.795% | 13501  |  3.689% | 4
 | 16   | Magearna           | 11.30294% | 18760  |  3.405% | 12911  |  3.528% | 1
 | 17   | Arceus-Water       | 10.84843% | 20430  |  3.708% | 14427  |  3.942% | -5
 | 18   | Solgaleo           | 10.25120% | 55048  |  9.990% | 34285  |  9.368% | -8
 | 19   | Lugia              |  9.85119% | 43974  |  7.981% | 28353  |  7.747% | 3
 | 20   | Zygarde            |  9.12870% | 42892  |  7.784% | 28828  |  7.877% | -9
 | 21   | Kyurem-White       |  8.74137% | 23015  |  4.177% | 14138  |  3.863% | 2
 | 22   | Deoxys-Speed       |  8.46669% | 21743  |  3.946% | 19119  |  5.224% | -4
 | 23   | Ferrothorn         |  6.82962% | 22446  |  4.074% | 17201  |  4.700% | 1
 | 24   | Excadrill          |  6.80828% | 12303  |  2.233% | 9510   |  2.599% | 8
 | 25   | Smeargle           |  6.20649% | 17182  |  3.118% | 14553  |  3.977% | 2
 | 26   | Ditto              |  6.05576% | 12873  |  2.336% | 8424   |  2.302% | 0
 | 27   | Arceus-Dark        |  5.27231% | 9371   |  1.701% | 6519   |  1.781% | -2
 | 28   | Dialga             |  5.05276% | 26972  |  4.895% | 18773  |  5.130% | 6
 | 29   | Giratina           |  4.94370% | 12958  |  2.352% | 8783   |  2.400% | 12
